#WL	Irradiance (mW/m2/nm)
200	2.760365753
201	2.511412945
202	2.614730485
203	2.839724806
204	3.196631306
205	3.661006022
206	4.311751719
207	4.924726249
208	5.62295414
209	7.013487568
210	8.669060032
211	10.72544174
212	13.3790653
213	16.80197685
214	21.96479355
215	30.20189192
216	41.57876728
217	60.99950568
218	101.8424658
219	155.5209437
220	260.5520086
221	702.8211606
222	737.3049437
223	199.7377443
224	31.21617738
225	17.29156771
226	12.66192877
227	12.30348394
228	12.89047367
229	13.60488251
230	14.61279038
231	15.66790571
232	16.48177391
233	17.11376823
234	17.35567924
235	17.20933017
236	16.72639643
237	15.9277248
238	14.82716327
239	13.36075642
240	11.82530367
241	10.33782408
242	8.862173142
243	7.608377081
244	6.48494443
245	5.518765537
246	4.765227756
247	4.236929844
248	3.834891886
249	3.643449093
250	3.512214973
251	3.468531663
252	3.576234628
253	3.850430919
254	4.433413104
255	5.453258887
256	6.722893546
257	8.071722306
258	7.047370987
259	4.524775251
260	2.720040765
261	1.896307182
262	1.48517561
263	1.248174279
264	1.130879012
265	1.086430632
266	1.06389803
267	1.047452995
268	1.019997207
269	1.025930542
270	1.035370874
271	1.037278941
272	1.054798425
273	1.077334736
274	1.116808334
275	1.152578529
276	1.176290315
277	1.217441067
278	1.271123584
279	1.312080914
280	1.370291738
281	1.415182824
282	1.469079079
283	1.566286057
284	1.62626505
285	1.645638531
286	1.683882028
287	1.774040166
288	1.867985315
289	1.909466524
290	1.934319069
291	1.993992386
292	2.050038102
293	2.097631664
294	2.145752113
295	2.18977576
296	2.256251513
297	2.313606141
298	2.336690478
299	2.402399967
300	2.39863491
301	2.410256275
302	2.446025261
303	2.47306288
304	2.504397283
305	2.514940499
306	2.527310884
307	2.552608415
308	2.569933405
309	2.552880005
310	2.54873712
311	2.548797326
312	2.546451227
313	2.537584791
314	2.527935248
315	2.52886178
316	2.52672401
317	2.495855713
318	2.433515038
319	2.43159137
320	2.389910228
321	2.389355879
322	2.337502053
323	2.31183839
324	2.290460311
325	2.257322231
326	2.238373144
327	2.193981368
328	2.137008825
329	2.077524358
330	2.051203785
331	2.013188075
332	1.96866246
333	1.917446622
334	1.878102277
335	1.820886623
336	1.787076964
337	1.748299207
338	1.693336343
339	1.657674143
340	1.598460266
341	1.564251178
342	1.51195741
343	1.474734561
344	1.440714651
345	1.401440599
346	1.367622665
347	1.326853067
348	1.273611815
349	1.245303384
350	1.208538513
351	1.174633301
352	1.157570268
353	1.119978055
354	1.090690497
355	1.055552623
356	1.030073075
357	1.006518079
358	0.979041069
359	0.959810239
360	0.931578124
361	0.923176476
362	0.894642529
363	0.881605301
364	0.854758179
365	0.83518297
366	0.824184866
367	0.791053369
368	0.773342923
369	0.767242391
370	0.761594339
371	0.747656292
372	0.727628789
373	0.725433822
374	0.721114839
375	0.702346324
376	0.692907229
377	0.685715408
378	0.666960418
379	0.632523829
380	0.634251126
381	0.627701124
382	0.61538915
383	0.601719944
384	0.607187917
385	0.580214463
386	0.578589286
387	0.573553485
388	0.546766911
389	0.536274246
390	0.534094677
391	0.533618541
392	0.512519937
393	0.480425217
394	0.4893374
395	0.482007983
396	0.478322962
397	0.477706485
398	0.451845919
399	0.432580842
400	0.407512292
